"School year","Values","Sex","Age in 5 years group","Full-/Part-time","Schultyp (Ebene +1)","Number","Annotations"
"2018/19","Number of teaching staff","female","55 to 59 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",578,
"2018/19","Number of teaching staff","female","55 to 59 years","Part-time","Other schools and colleges for Vocational Education (statutes)",78,
"2018/19","Number of teaching staff","female","55 to 59 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Number of teaching staff","female","60 to 64 years","Full-time","Cumpulsory schools",3742,
"2018/19","Number of teaching staff","female","60 to 64 years","Full-time","Academic secondary schools",1198,
"2018/19","Number of teaching staff","female","60 to 64 years","Full-time","Other general schools (statues)",41,
"2018/19","Number of teaching staff","female","60 to 64 years","Full-time","Vocational schools for apprentices",71,
"2018/19","Number of teaching staff","female","60 to 64 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1061,
"2018/19","Number of teaching staff","female","60 to 64 years","Full-time","Other schools and colleges for Vocational Education (statutes)",18,
"2018/19","Number of teaching staff","female","60 to 64 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Number of teaching staff","female","60 to 64 years","Part-time","Cumpulsory schools",2254,
"2018/19","Number of teaching staff","female","60 to 64 years","Part-time","Academic secondary schools",468,
"2018/19","Number of teaching staff","female","60 to 64 years","Part-time","Other general schools (statues)",28,
"2018/19","Number of teaching staff","female","60 to 64 years","Part-time","Vocational schools for apprentices",30,
"2018/19","Number of teaching staff","female","60 to 64 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",329,
"2018/19","Number of teaching staff","female","60 to 64 years","Part-time","Other schools and colleges for Vocational Education (statutes)",27,
"2018/19","Number of teaching staff","female","60 to 64 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Number of teaching staff","female","older than 65 years","Full-time","Cumpulsory schools",27,
"2018/19","Number of teaching staff","female","older than 65 years","Full-time","Academic secondary schools",24,
"2018/19","Number of teaching staff","female","older than 65 years","Full-time","Other general schools (statues)",6,
"2018/19","Number of teaching staff","female","older than 65 years","Full-time","Vocational schools for apprentices",3,
"2018/19","Number of teaching staff","female","older than 65 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",10,
"2018/19","Number of teaching staff","female","older than 65 years","Full-time","Other schools and colleges for Vocational Education (statutes)",1,
"2018/19","Number of teaching staff","female","older than 65 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Number of teaching staff","female","older than 65 years","Part-time","Cumpulsory schools",12,
"2018/19","Number of teaching staff","female","older than 65 years","Part-time","Academic secondary schools",12,
"2018/19","Number of teaching staff","female","older than 65 years","Part-time","Other general schools (statues)",13,
"2018/19","Number of teaching staff","female","older than 65 years","Part-time","Vocational schools for apprentices",-,
"2018/19","Number of teaching staff","female","older than 65 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",4,
"2018/19","Number of teaching staff","female","older than 65 years","Part-time","Other schools and colleges for Vocational Education (statutes)",7,
"2018/19","Number of teaching staff","female","older than 65 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2015/16","Full-time equivalent","male","to 24 years","Full-time","Cumpulsory schools",157.51,
"2015/16","Full-time equivalent","male","to 24 years","Full-time","Academic secondary schools",9.88,
"2015/16","Full-time equivalent","male","to 24 years","Full-time","Other general schools (statues)",-,
"2015/16","Full-time equivalent","male","to 24 years","Full-time","Vocational schools for apprentices",2.00,
"2015/16","Full-time equivalent","male","to 24 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",6.36,
"2015/16","Full-time equivalent","male","to 24 years","Full-time","Other schools and colleges for Vocational Education (statutes)",0.54,
"2015/16","Full-time equivalent","male","to 24 years","Full-time","Teacher-training colleges (till 2015/16)",1.00,
"2015/16","Full-time equivalent","male","to 24 years","Part-time","Cumpulsory schools",17.67,
"2015/16","Full-time equivalent","male","to 24 years","Part-time","Academic secondary schools",9.69,
"2015/16","Full-time equivalent","male","to 24 years","Part-time","Other general schools (statues)",2.93,
"2015/16","Full-time equivalent","male","to 24 years","Part-time","Vocational schools for apprentices",-,
"2015/16","Full-time equivalent","male","to 24 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",7.86,
"2015/16","Full-time equivalent","male","to 24 years","Part-time","Other schools and colleges for Vocational Education (statutes)",0.89,
"2015/16","Full-time equivalent","male","to 24 years","Part-time","Teacher-training colleges (till 2015/16)",0.09,
"2015/16","Full-time equivalent","male","25 to 29 years","Full-time","Cumpulsory schools",747.66,
"2015/16","Full-time equivalent","male","25 to 29 years","Full-time","Academic secondary schools",308.37,
"2015/16","Full-time equivalent","male","25 to 29 years","Full-time","Other general schools (statues)",11.65,
"2015/16","Full-time equivalent","male","25 to 29 years","Full-time","Vocational schools for apprentices",21.00,
"2015/16","Full-time equivalent","male","25 to 29 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",129.34,
"2015/16","Full-time equivalent","male","25 to 29 years","Full-time","Other schools and colleges for Vocational Education (statutes)",1.85,
"2015/16","Full-time equivalent","male","25 to 29 years","Full-time","Teacher-training colleges (till 2015/16)",9.94,
"2015/16","Full-time equivalent","male","25 to 29 years","Part-time","Cumpulsory schools",80.52,
"2015/16","Full-time equivalent","male","25 to 29 years","Part-time","Academic secondary schools",121.77,
"2015/16","Full-time equivalent","male","25 to 29 years","Part-time","Other general schools (statues)",8.78,
"2015/16","Full-time equivalent","male","25 to 29 years","Part-time","Vocational schools for apprentices",2.20,
"2015/16","Full-time equivalent","male","25 to 29 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",59.39,
"2015/16","Full-time equivalent","male","25 to 29 years","Part-time","Other schools and colleges for Vocational Education (statutes)",1.98,
"2015/16","Full-time equivalent","male","25 to 29 years","Part-time","Teacher-training colleges (till 2015/16)",4.40,
"2015/16","Full-time equivalent","male","30 to 34 years","Full-time","Cumpulsory schools",846.49,
"2015/16","Full-time equivalent","male","30 to 34 years","Full-time","Academic secondary schools",663.81,
"2015/16","Full-time equivalent","male","30 to 34 years","Full-time","Other general schools (statues)",28.84,
"2015/16","Full-time equivalent","male","30 to 34 years","Full-time","Vocational schools for apprentices",155.54,
"2015/16","Full-time equivalent","male","30 to 34 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",435.83,
"2015/16","Full-time equivalent","male","30 to 34 years","Full-time","Other schools and colleges for Vocational Education (statutes)",2.37,
"2015/16","Full-time equivalent","male","30 to 34 years","Full-time","Teacher-training colleges (till 2015/16)",20.62,
"2015/16","Full-time equivalent","male","30 to 34 years","Part-time","Cumpulsory schools",85.13,
"2015/16","Full-time equivalent","male","30 to 34 years","Part-time","Academic secondary schools",130.18,
"2015/16","Full-time equivalent","male","30 to 34 years","Part-time","Other general schools (statues)",8.10,
"2015/16","Full-time equivalent","male","30 to 34 years","Part-time","Vocational schools for apprentices",10.24,
"2015/16","Full-time equivalent","male","30 to 34 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",82.46,
"2015/16","Full-time equivalent","male","30 to 34 years","Part-time","Other schools and colleges for Vocational Education (statutes)",3.76,
"2015/16","Full-time equivalent","male","30 to 34 years","Part-time","Teacher-training colleges (till 2015/16)",10.10,
"2015/16","Full-time equivalent","male","35 to 39 years","Full-time","Cumpulsory schools",949.38,
"2015/16","Full-time equivalent","male","35 to 39 years","Full-time","Academic secondary schools",679.97,
"2015/16","Full-time equivalent","male","35 to 39 years","Full-time","Other general schools (statues)",28.00,
"2015/16","Full-time equivalent","male","35 to 39 years","Full-time","Vocational schools for apprentices",264.49,
"2015/16","Full-time equivalent","male","35 to 39 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",683.37,
"2015/16","Full-time equivalent","male","35 to 39 years","Full-time","Other schools and colleges for Vocational Education (statutes)",11.52,
"2015/16","Full-time equivalent","male","35 to 39 years","Full-time","Teacher-training colleges (till 2015/16)",19.83,
"2015/16","Full-time equivalent","male","35 to 39 years","Part-time","Cumpulsory schools",77.66,
"2015/16","Full-time equivalent","male","35 to 39 years","Part-time","Academic secondary schools",110.78,
"2015/16","Full-time equivalent","male","35 to 39 years","Part-time","Other general schools (statues)",8.15,
"2015/16","Full-time equivalent","male","35 to 39 years","Part-time","Vocational schools for apprentices",20.22,
"2015/16","Full-time equivalent","male","35 to 39 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",96.07,
"2015/16","Full-time equivalent","male","35 to 39 years","Part-time","Other schools and colleges for Vocational Education (statutes)",6.54,
"2015/16","Full-time equivalent","male","35 to 39 years","Part-time","Teacher-training colleges (till 2015/16)",6.49,
"2015/16","Full-time equivalent","male","40 to 44 years","Full-time","Cumpulsory schools",1107.03,
"2015/16","Full-time equivalent","male","40 to 44 years","Full-time","Academic secondary schools",670.41,
"2015/16","Full-time equivalent","male","40 to 44 years","Full-time","Other general schools (statues)",43.94,
"2015/16","Full-time equivalent","male","40 to 44 years","Full-time","Vocational schools for apprentices",427.17,
"2015/16","Full-time equivalent","male","40 to 44 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1030.33,
"2015/16","Full-time equivalent","male","40 to 44 years","Full-time","Other schools and colleges for Vocational Education (statutes)",17.82,
"2015/16","Full-time equivalent","male","40 to 44 years","Full-time","Teacher-training colleges (till 2015/16)",24.09,
"2015/16","Full-time equivalent","male","40 to 44 years","Part-time","Cumpulsory schools",112.69,
"2015/16","Full-time equivalent","male","40 to 44 years","Part-time","Academic secondary schools",111.77,
"2015/16","Full-time equivalent","male","40 to 44 years","Part-time","Other general schools (statues)",9.46,
"2015/16","Full-time equivalent","male","40 to 44 years","Part-time","Vocational schools for apprentices",31.93,
"2015/16","Full-time equivalent","male","40 to 44 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",144.96,
"2015/16","Full-time equivalent","male","40 to 44 years","Part-time","Other schools and colleges for Vocational Education (statutes)",6.24,
"2015/16","Full-time equivalent","male","40 to 44 years","Part-time","Teacher-training colleges (till 2015/16)",4.50,
"2015/16","Full-time equivalent","male","45 to 49 years","Full-time","Cumpulsory schools",1227.07,
"2015/16","Full-time equivalent","male","45 to 49 years","Full-time","Academic secondary schools",741.15,
"2015/16","Full-time equivalent","male","45 to 49 years","Full-time","Other general schools (statues)",45.25,
"2015/16","Full-time equivalent","male","45 to 49 years","Full-time","Vocational schools for apprentices",606.33,
"2015/16","Full-time equivalent","male","45 to 49 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1403.83,
"2015/16","Full-time equivalent","male","45 to 49 years","Full-time","Other schools and colleges for Vocational Education (statutes)",21.29,
"2015/16","Full-time equivalent","male","45 to 49 years","Full-time","Teacher-training colleges (till 2015/16)",33.97,
"2015/16","Full-time equivalent","male","45 to 49 years","Part-time","Cumpulsory schools",127.16,
"2015/16","Full-time equivalent","male","45 to 49 years","Part-time","Academic secondary schools",101.06,
"2015/16","Full-time equivalent","male","45 to 49 years","Part-time","Other general schools (statues)",14.57,
"2015/16","Full-time equivalent","male","45 to 49 years","Part-time","Vocational schools for apprentices",53.87,
"2015/16","Full-time equivalent","male","45 to 49 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",164.79,
"2015/16","Full-time equivalent","male","45 to 49 years","Part-time","Other schools and colleges for Vocational Education (statutes)",12.02,
"2015/16","Full-time equivalent","male","45 to 49 years","Part-time","Teacher-training colleges (till 2015/16)",8.63,
"2015/16","Full-time equivalent","male","50 to 54 years","Full-time","Cumpulsory schools",1668.00,
"2015/16","Full-time equivalent","male","50 to 54 years","Full-time","Academic secondary schools",985.66,
"2015/16","Full-time equivalent","male","50 to 54 years","Full-time","Other general schools (statues)",29.03,
"2015/16","Full-time equivalent","male","50 to 54 years","Full-time","Vocational schools for apprentices",500.25,
"2015/16","Full-time equivalent","male","50 to 54 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1592.67,
"2015/16","Full-time equivalent","male","50 to 54 years","Full-time","Other schools and colleges for Vocational Education (statutes)",20.52,
"2015/16","Full-time equivalent","male","50 to 54 years","Full-time","Teacher-training colleges (till 2015/16)",45.15,
"2015/16","Full-time equivalent","male","50 to 54 years","Part-time","Cumpulsory schools",187.07,
"2015/16","Full-time equivalent","male","50 to 54 years","Part-time","Academic secondary schools",117.89,
"2015/16","Full-time equivalent","male","50 to 54 years","Part-time","Other general schools (statues)",9.62,
"2015/16","Full-time equivalent","male","50 to 54 years","Part-time","Vocational schools for apprentices",50.53,
"2015/16","Full-time equivalent","male","50 to 54 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",149.25,
"2015/16","Full-time equivalent","male","50 to 54 years","Part-time","Other schools and colleges for Vocational Education (statutes)",11.76,
"2015/16","Full-time equivalent","male","50 to 54 years","Part-time","Teacher-training colleges (till 2015/16)",5.99,
"2015/16","Full-time equivalent","male","55 to 59 years","Full-time","Cumpulsory schools",2117.19,
"2015/16","Full-time equivalent","male","55 to 59 years","Full-time","Academic secondary schools",1257.81,
"2015/16","Full-time equivalent","male","55 to 59 years","Full-time","Other general schools (statues)",27.18,
"2015/16","Full-time equivalent","male","55 to 59 years","Full-time","Vocational schools for apprentices",472.75,
"2015/16","Full-time equivalent","male","55 to 59 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1712.38,
"2015/16","Full-time equivalent","male","55 to 59 years","Full-time","Other schools and colleges for Vocational Education (statutes)",23.90,
"2015/16","Full-time equivalent","male","55 to 59 years","Full-time","Teacher-training colleges (till 2015/16)",39.32,
"2015/16","Full-time equivalent","male","55 to 59 years","Part-time","Cumpulsory schools",362.26,
"2015/16","Full-time equivalent","male","55 to 59 years","Part-time","Academic secondary schools",131.93,
"2015/16","Full-time equivalent","male","55 to 59 years","Part-time","Other general schools (statues)",10.08,
"2015/16","Full-time equivalent","male","55 to 59 years","Part-time","Vocational schools for apprentices",50.48,
"2015/16","Full-time equivalent","male","55 to 59 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",140.04,
"2015/16","Full-time equivalent","male","55 to 59 years","Part-time","Other schools and colleges for Vocational Education (statutes)",11.86,
"2015/16","Full-time equivalent","male","55 to 59 years","Part-time","Teacher-training colleges (till 2015/16)",10.56,
"2015/16","Full-time equivalent","male","60 to 64 years","Full-time","Cumpulsory schools",1056.26,
"2015/16","Full-time equivalent","male","60 to 64 years","Full-time","Academic secondary schools",854.44,
"2015/16","Full-time equivalent","male","60 to 64 years","Full-time","Other general schools (statues)",31.57,
"2015/16","Full-time equivalent","male","60 to 64 years","Full-time","Vocational schools for apprentices",205.96,
"2015/16","Full-time equivalent","male","60 to 64 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1059.03,
"2015/16","Full-time equivalent","male","60 to 64 years","Full-time","Other schools and colleges for Vocational Education (statutes)",8.91,
"2015/16","Full-time equivalent","male","60 to 64 years","Full-time","Teacher-training colleges (till 2015/16)",33.05,
"2015/16","Full-time equivalent","male","60 to 64 years","Part-time","Cumpulsory schools",226.61,
"2015/16","Full-time equivalent","male","60 to 64 years","Part-time","Academic secondary schools",91.74,
"2015/16","Full-time equivalent","male","60 to 64 years","Part-time","Other general schools (statues)",7.50,
"2015/16","Full-time equivalent","male","60 to 64 years","Part-time","Vocational schools for apprentices",35.08,
"2015/16","Full-time equivalent","male","60 to 64 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",102.81,
"2015/16","Full-time equivalent","male","60 to 64 years","Part-time","Other schools and colleges for Vocational Education (statutes)",7.24,
"2015/16","Full-time equivalent","male","60 to 64 years","Part-time","Teacher-training colleges (till 2015/16)",5.34,
"2015/16","Full-time equivalent","male","older than 65 years","Full-time","Cumpulsory schools",16.81,
"2015/16","Full-time equivalent","male","older than 65 years","Full-time","Academic secondary schools",12.92,
"2015/16","Full-time equivalent","male","older than 65 years","Full-time","Other general schools (statues)",5.00,
"2015/16","Full-time equivalent","male","older than 65 years","Full-time","Vocational schools for apprentices",2.00,
"2015/16","Full-time equivalent","male","older than 65 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",28.24,
"2015/16","Full-time equivalent","male","older than 65 years","Full-time","Other schools and colleges for Vocational Education (statutes)",1.76,
"2015/16","Full-time equivalent","male","older than 65 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2015/16","Full-time equivalent","male","older than 65 years","Part-time","Cumpulsory schools",2.41,
"2015/16","Full-time equivalent","male","older than 65 years","Part-time","Academic secondary schools",6.37,
"2015/16","Full-time equivalent","male","older than 65 years","Part-time","Other general schools (statues)",1.58,
"2015/16","Full-time equivalent","male","older than 65 years","Part-time","Vocational schools for apprentices",0.64,
"2015/16","Full-time equivalent","male","older than 65 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",14.43,
"2015/16","Full-time equivalent","male","older than 65 years","Part-time","Other schools and colleges for Vocational Education (statutes)",2.22,
"2015/16","Full-time equivalent","male","older than 65 years","Part-time","Teacher-training colleges (till 2015/16)",0.36,
"2015/16","Full-time equivalent","female","to 24 years","Full-time","Cumpulsory schools",1871.47,
"2015/16","Full-time equivalent","female","to 24 years","Full-time","Academic secondary schools",47.37,
"2015/16","Full-time equivalent","female","to 24 years","Full-time","Other general schools (statues)",13.70,
"2015/16","Full-time equivalent","female","to 24 years","Full-time","Vocational schools for apprentices",-,
"2015/16","Full-time equivalent","female","to 24 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",47.19,
"2015/16","Full-time equivalent","female","to 24 years","Full-time","Other schools and colleges for Vocational Education (statutes)",-,
"2015/16","Full-time equivalent","female","to 24 years","Full-time","Teacher-training colleges (till 2015/16)",17.00,
"2015/16","Full-time equivalent","female","to 24 years","Part-time","Cumpulsory schools",228.99,
"2015/16","Full-time equivalent","female","to 24 years","Part-time","Academic secondary schools",46.47,
"2015/16","Full-time equivalent","female","to 24 years","Part-time","Other general schools (statues)",6.55,
"2015/16","Full-time equivalent","female","to 24 years","Part-time","Vocational schools for apprentices",1.19,
"2015/16","Full-time equivalent","female","to 24 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",21.19,
"2015/16","Full-time equivalent","female","to 24 years","Part-time","Other schools and colleges for Vocational Education (statutes)",0.68,
"2015/16","Full-time equivalent","female","to 24 years","Part-time","Teacher-training colleges (till 2015/16)",6.30,
"2015/16","Full-time equivalent","female","25 to 29 years","Full-time","Cumpulsory schools",4244.31,
"2015/16","Full-time equivalent","female","25 to 29 years","Full-time","Academic secondary schools",850.36,
"2015/16","Full-time equivalent","female","25 to 29 years","Full-time","Other general schools (statues)",49.37,
"2015/16","Full-time equivalent","female","25 to 29 years","Full-time","Vocational schools for apprentices",17.00,
"2015/16","Full-time equivalent","female","25 to 29 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",391.24,
"2015/16","Full-time equivalent","female","25 to 29 years","Full-time","Other schools and colleges for Vocational Education (statutes)",5.70,
"2015/16","Full-time equivalent","female","25 to 29 years","Full-time","Teacher-training colleges (till 2015/16)",52.85,
"2015/16","Full-time equivalent","female","25 to 29 years","Part-time","Cumpulsory schools",413.37,
"2015/16","Full-time equivalent","female","25 to 29 years","Part-time","Academic secondary schools",266.66,
"2015/16","Full-time equivalent","female","25 to 29 years","Part-time","Other general schools (statues)",20.45,
"2015/16","Full-time equivalent","female","25 to 29 years","Part-time","Vocational schools for apprentices",3.32,
"2015/16","Full-time equivalent","female","25 to 29 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",102.02,
"2015/16","Full-time equivalent","female","25 to 29 years","Part-time","Other schools and colleges for Vocational Education (statutes)",6.35,
"2015/16","Full-time equivalent","female","25 to 29 years","Part-time","Teacher-training colleges (till 2015/16)",24.95,
"2015/16","Full-time equivalent","female","30 to 34 years","Full-time","Cumpulsory schools",2811.98,
"2015/16","Full-time equivalent","female","30 to 34 years","Full-time","Academic secondary schools",1094.99,
"2015/16","Full-time equivalent","female","30 to 34 years","Full-time","Other general schools (statues)",56.45,
"2015/16","Full-time equivalent","female","30 to 34 years","Full-time","Vocational schools for apprentices",77.09,
"2015/16","Full-time equivalent","female","30 to 34 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",565.54,
"2015/16","Full-time equivalent","female","30 to 34 years","Full-time","Other schools and colleges for Vocational Education (statutes)",11.52,
"2015/16","Full-time equivalent","female","30 to 34 years","Full-time","Teacher-training colleges (till 2015/16)",70.67,
"2015/16","Full-time equivalent","female","30 to 34 years","Part-time","Cumpulsory schools",703.44,
"2015/16","Full-time equivalent","female","30 to 34 years","Part-time","Academic secondary schools",328.35,
"2015/16","Full-time equivalent","female","30 to 34 years","Part-time","Other general schools (statues)",22.69,
"2015/16","Full-time equivalent","female","30 to 34 years","Part-time","Vocational schools for apprentices",13.95,
"2015/16","Full-time equivalent","female","30 to 34 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",185.85,
"2015/16","Full-time equivalent","female","30 to 34 years","Part-time","Other schools and colleges for Vocational Education (statutes)",8.37,
"2015/16","Full-time equivalent","female","30 to 34 years","Part-time","Teacher-training colleges (till 2015/16)",30.37,
"2015/16","Full-time equivalent","female","35 to 39 years","Full-time","Cumpulsory schools",2521.33,
"2015/16","Full-time equivalent","female","35 to 39 years","Full-time","Academic secondary schools",736.56,
"2015/16","Full-time equivalent","female","35 to 39 years","Full-time","Other general schools (statues)",71.54,
"2015/16","Full-time equivalent","female","35 to 39 years","Full-time","Vocational schools for apprentices",103.78,
"2015/16","Full-time equivalent","female","35 to 39 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",480.10,
"2015/16","Full-time equivalent","female","35 to 39 years","Full-time","Other schools and colleges for Vocational Education (statutes)",10.72,
"2015/16","Full-time equivalent","female","35 to 39 years","Full-time","Teacher-training colleges (till 2015/16)",79.28,
"2015/16","Full-time equivalent","female","35 to 39 years","Part-time","Cumpulsory schools",1333.71,
"2015/16","Full-time equivalent","female","35 to 39 years","Part-time","Academic secondary schools",456.89,
"2015/16","Full-time equivalent","female","35 to 39 years","Part-time","Other general schools (statues)",21.49,
"2015/16","Full-time equivalent","female","35 to 39 years","Part-time","Vocational schools for apprentices",38.93,
"2015/16","Full-time equivalent","female","35 to 39 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",261.71,
"2015/16","Full-time equivalent","female","35 to 39 years","Part-time","Other schools and colleges for Vocational Education (statutes)",19.19,
"2015/16","Full-time equivalent","female","35 to 39 years","Part-time","Teacher-training colleges (till 2015/16)",45.91,
"2015/16","Full-time equivalent","female","40 to 44 years","Full-time","Cumpulsory schools",4175.03,
"2015/16","Full-time equivalent","female","40 to 44 years","Full-time","Academic secondary schools",827.21,
"2015/16","Full-time equivalent","female","40 to 44 years","Full-time","Other general schools (statues)",67.24,
"2015/16","Full-time equivalent","female","40 to 44 years","Full-time","Vocational schools for apprentices",172.51,
"2015/16","Full-time equivalent","female","40 to 44 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",797.55,
"2015/16","Full-time equivalent","female","40 to 44 years","Full-time","Other schools and colleges for Vocational Education (statutes)",34.43,
"2015/16","Full-time equivalent","female","40 to 44 years","Full-time","Teacher-training colleges (till 2015/16)",93.08,
"2015/16","Full-time equivalent","female","40 to 44 years","Part-time","Cumpulsory schools",1808.80,
"2015/16","Full-time equivalent","female","40 to 44 years","Part-time","Academic secondary schools",519.79,
"2015/16","Full-time equivalent","female","40 to 44 years","Part-time","Other general schools (statues)",40.49,
"2015/16","Full-time equivalent","female","40 to 44 years","Part-time","Vocational schools for apprentices",60.09,
"2015/16","Full-time equivalent","female","40 to 44 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",431.24,
"2015/16","Full-time equivalent","female","40 to 44 years","Part-time","Other schools and colleges for Vocational Education (statutes)",27.43,
"2015/16","Full-time equivalent","female","40 to 44 years","Part-time","Teacher-training colleges (till 2015/16)",50.11,
"2015/16","Full-time equivalent","female","45 to 49 years","Full-time","Cumpulsory schools",5454.01,
"2015/16","Full-time equivalent","female","45 to 49 years","Full-time","Academic secondary schools",1215.04,
"2015/16","Full-time equivalent","female","45 to 49 years","Full-time","Other general schools (statues)",90.07,
"2015/16","Full-time equivalent","female","45 to 49 years","Full-time","Vocational schools for apprentices",289.45,
"2015/16","Full-time equivalent","female","45 to 49 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1147.74,
"2015/16","Full-time equivalent","female","45 to 49 years","Full-time","Other schools and colleges for Vocational Education (statutes)",60.74,
"2015/16","Full-time equivalent","female","45 to 49 years","Full-time","Teacher-training colleges (till 2015/16)",142.58,
"2015/16","Full-time equivalent","female","45 to 49 years","Part-time","Cumpulsory schools",1537.06,
"2015/16","Full-time equivalent","female","45 to 49 years","Part-time","Academic secondary schools",460.25,
"2015/16","Full-time equivalent","female","45 to 49 years","Part-time","Other general schools (statues)",34.11,
"2015/16","Full-time equivalent","female","45 to 49 years","Part-time","Vocational schools for apprentices",55.50,
"2015/16","Full-time equivalent","female","45 to 49 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",402.77,
"2015/16","Full-time equivalent","female","45 to 49 years","Part-time","Other schools and colleges for Vocational Education (statutes)",31.55,
"2015/16","Full-time equivalent","female","45 to 49 years","Part-time","Teacher-training colleges (till 2015/16)",57.47,
"2015/16","Full-time equivalent","female","50 to 54 years","Full-time","Cumpulsory schools",7665.07,
"2015/16","Full-time equivalent","female","50 to 54 years","Full-time","Academic secondary schools",1622.34,
"2015/16","Full-time equivalent","female","50 to 54 years","Full-time","Other general schools (statues)",86.06,
"2015/16","Full-time equivalent","female","50 to 54 years","Full-time","Vocational schools for apprentices",273.38,
"2015/16","Full-time equivalent","female","50 to 54 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1718.20,
"2015/16","Full-time equivalent","female","50 to 54 years","Full-time","Other schools and colleges for Vocational Education (statutes)",80.99,
"2015/16","Full-time equivalent","female","50 to 54 years","Full-time","Teacher-training colleges (till 2015/16)",181.71,
"2015/16","Full-time equivalent","female","50 to 54 years","Part-time","Cumpulsory schools",1782.99,
"2015/16","Full-time equivalent","female","50 to 54 years","Part-time","Academic secondary schools",362.92,
"2015/16","Full-time equivalent","female","50 to 54 years","Part-time","Other general schools (statues)",30.61,
"2015/16","Full-time equivalent","female","50 to 54 years","Part-time","Vocational schools for apprentices",45.81,
"2015/16","Full-time equivalent","female","50 to 54 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",348.30,
"2015/16","Full-time equivalent","female","50 to 54 years","Part-time","Other schools and colleges for Vocational Education (statutes)",34.29,
"2015/16","Full-time equivalent","female","50 to 54 years","Part-time","Teacher-training colleges (till 2015/16)",34.06,
"2015/16","Full-time equivalent","female","55 to 59 years","Full-time","Cumpulsory schools",7788.56,
"2015/16","Full-time equivalent","female","55 to 59 years","Full-time","Academic secondary schools",1780.21,
"2015/16","Full-time equivalent","female","55 to 59 years","Full-time","Other general schools (statues)",59.53,
"2015/16","Full-time equivalent","female","55 to 59 years","Full-time","Vocational schools for apprentices",168.91,
"2015/16","Full-time equivalent","female","55 to 59 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1676.63,
"2015/16","Full-time equivalent","female","55 to 59 years","Full-time","Other schools and colleges for Vocational Education (statutes)",60.65,
"2015/16","Full-time equivalent","female","55 to 59 years","Full-time","Teacher-training colleges (till 2015/16)",173.11,
"2015/16","Full-time equivalent","female","55 to 59 years","Part-time","Cumpulsory schools",2329.84,
"2015/16","Full-time equivalent","female","55 to 59 years","Part-time","Academic secondary schools",445.56,
"2015/16","Full-time equivalent","female","55 to 59 years","Part-time","Other general schools (statues)",26.60,
